time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	1.912368e-005	2.662522e-009
1.000051562500000e-006	7.632814e-005	1.273927e-008
1.000066825750158e-006	1.149626e-004	2.154244e-008
1.000086197172259e-006	1.819930e-004	4.069849e-008
1.000107395146204e-006	2.708081e-004	7.180259e-008
1.000128148969556e-006	3.737633e-004	1.155597e-007
1.000152879066111e-006	5.161024e-004	1.882559e-007
1.000181397886038e-006	7.041603e-004	3.036220e-007
1.000216578360962e-006	9.682148e-004	4.989202e-007
1.000258542088153e-006	1.324472e-003	8.188321e-007
1.000310827703824e-006	1.823379e-003	1.367095e-006
1.000375160459875e-006	2.508263e-003	2.297813e-006
1.000457201313715e-006	3.475215e-003	3.942546e-006
1.000562334448037e-006	4.835947e-003	6.883267e-006
1.000702144384277e-006	6.809101e-003	1.239478e-005
1.000892289015146e-006	9.723187e-003	2.312169e-005
1.001162287467910e-006	1.422598e-002	4.539365e-005
1.001556329084056e-006	2.145227e-002	9.418092e-005
1.002138047881212e-006	3.338340e-002	2.048082e-004
1.002967068462413e-006	5.273192e-002	4.505977e-004
1.004109349316407e-006	8.344933e-002	9.825756e-004
1.005666640535104e-006	1.319392e-001	2.122531e-003
1.007772238854248e-006	2.077519e-001	4.542619e-003
1.010662455645751e-006	3.274368e-001	9.755560e-003
1.014695393606895e-006	5.180774e-001	2.114278e-002
1.020317440046870e-006	8.196017e-001	4.587143e-002
1.028129940046869e-006	1.289653e+000	9.682339e-002
1.035942440046869e-006	1.808787e+000	1.670439e-001
1.042187500000000e-006	2.263275e+000	2.408662e-001
1.050000000000000e-006	2.867287e+000	3.501392e-001
1.050781250000000e-006	2.920601e+000	3.630915e-001
1.052343750000000e-006	3.019569e+000	3.895237e-001
1.055468750000000e-006	3.195219e+000	4.446064e-001
1.061718750000000e-006	3.505475e+000	5.603941e-001
1.067790451186536e-006	3.777707e+000	6.790288e-001
1.075602951186536e-006	4.105809e+000	8.398218e-001
1.083415451186536e-006	4.424870e+000	1.008129e+000
1.091227951186536e-006	4.739104e+000	1.183724e+000
1.106852951186536e-006	5.358154e+000	1.554630e+000
1.122477951186536e-006	5.964972e+000	1.948732e+000
