time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	8.711680e-006	2.667710e-009
1.000051562500000e-006	3.478432e-005	1.276617e-008
1.000066819824014e-006	5.240000e-005	2.158826e-008
1.000086193957348e-006	8.300562e-005	4.080347e-008
1.000107390064682e-006	1.235839e-004	7.200506e-008
1.000128100675816e-006	1.705775e-004	1.158311e-007
1.000152814721150e-006	2.357145e-004	1.887732e-007
1.000181266681943e-006	3.217429e-004	3.043882e-007
1.000216374943433e-006	4.427717e-004	5.002734e-007
1.000258186071522e-006	6.061350e-004	8.208478e-007
1.000310252278238e-006	8.353673e-004	1.370349e-006
1.000374186053017e-006	1.150432e-003	2.302098e-006
1.000455564336777e-006	1.596247e-003	3.947117e-006
1.000559478210450e-006	2.224684e-003	6.880790e-006
1.000697006929120e-006	3.137690e-003	1.235719e-005
1.000882563424619e-006	4.486465e-003	2.293242e-005
1.001142873518508e-006	6.565385e-003	4.459290e-005
1.001516012301482e-006	9.876008e-003	9.101322e-005
1.002055835911908e-006	1.528621e-002	1.935746e-004
1.002814466359552e-006	2.401998e-002	4.169455e-004
1.003852896071257e-006	3.792331e-002	8.947677e-004
1.005262090037076e-006	5.999170e-002	1.910386e-003
1.007163319947904e-006	9.483337e-002	4.056476e-003
1.009756760174878e-006	1.503263e-001	8.642079e-003
1.013354804366750e-006	2.400623e-001	1.862622e-002
1.018458079882155e-006	3.888020e-001	4.091669e-002
1.025775473789943e-006	6.371315e-001	8.926934e-002
1.033587973789943e-006	9.436648e-001	1.632575e-001
1.041400473789943e-006	1.284546e+000	2.571467e-001
1.042187500000000e-006	1.321503e+000	2.682020e-001
1.043761552420114e-006	1.399315e+000	2.927606e-001
1.046909657260343e-006	1.560021e+000	3.451673e-001
1.050000000000000e-006	1.722324e+000	3.995735e-001
1.050309034273966e-006	1.737815e+000	4.054283e-001
1.050927102821897e-006	1.767653e+000	4.172537e-001
1.052163239917760e-006	1.824278e+000	4.414252e-001
1.054635514109485e-006	1.931213e+000	4.914745e-001
1.058663501042163e-006	2.094984e+000	5.773703e-001
1.066476001042163e-006	2.398006e+000	7.543510e-001
1.074288501042163e-006	2.695545e+000	9.425517e-001
