time	V(n003)	V(n006)
1.778843692146578e-006	1.595690e+001	1.429031e+001
1.802281192146578e-006	1.596326e+001	1.445848e+001
1.825718692146578e-006	1.596178e+001	1.460996e+001
1.848040120718007e-006	1.595233e+001	1.473758e+001
1.870361549289436e-006	1.593910e+001	1.485371e+001
1.892682977860865e-006	1.592208e+001	1.495834e+001
1.915004406432293e-006	1.590127e+001	1.505147e+001
1.937325835003722e-006	1.587668e+001	1.513310e+001
1.959647263575151e-006	1.584829e+001	1.520323e+001
1.981968692146580e-006	1.581613e+001	1.526186e+001
2.005406192146580e-006	1.578194e+001	1.531593e+001
2.028843692146581e-006	1.574622e+001	1.536103e+001
2.052281192146581e-006	1.570941e+001	1.539793e+001
2.067906192146582e-006	1.568447e+001	1.541835e+001
2.083531192146582e-006	1.565933e+001	1.543566e+001
2.099156192146583e-006	1.563410e+001	1.545006e+001
2.114781192146583e-006	1.560887e+001	1.546176e+001
2.130406192146583e-006	1.558372e+001	1.547094e+001
2.138218692146584e-006	1.557120e+001	1.547464e+001
2.146031192146584e-006	1.555872e+001	1.547778e+001
2.153843692146584e-006	1.554631e+001	1.548038e+001
2.161656192146584e-006	1.553396e+001	1.548246e+001
2.169468692146584e-006	1.552169e+001	1.548403e+001
2.177281192146584e-006	1.550949e+001	1.548513e+001
2.185093692146585e-006	1.549738e+001	1.548577e+001
2.192906192146585e-006	1.548537e+001	1.548596e+001
2.200718692146585e-006	1.547346e+001	1.548573e+001
2.208531192146585e-006	1.546165e+001	1.548510e+001
2.216343692146585e-006	1.544996e+001	1.548408e+001
2.224156192146586e-006	1.543838e+001	1.548270e+001
2.231968692146586e-006	1.542692e+001	1.548096e+001
2.239781192146586e-006	1.541559e+001	1.547888e+001
2.247593692146586e-006	1.540439e+001	1.547649e+001
2.255406192146586e-006	1.539333e+001	1.547379e+001
2.263218692146587e-006	1.538240e+001	1.547080e+001
2.271031192146587e-006	1.537161e+001	1.546754e+001
2.278843692146587e-006	1.536097e+001	1.546403e+001
2.286656192146587e-006	1.535048e+001	1.546026e+001
2.294468692146587e-006	1.534014e+001	1.545627e+001
2.302281192146587e-006	1.532995e+001	1.545205e+001
2.310093692146588e-006	1.531991e+001	1.544764e+001
2.317906192146588e-006	1.531003e+001	1.544303e+001
