time	V(n003)	V(n006)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-006	0.000000e+000	0.000000e+000
1.000017187500000e-006	1.276575e-005	2.665679e-009
1.000051562500000e-006	5.096350e-005	1.275564e-008
1.000066822160985e-006	7.676708e-005	2.157029e-008
1.000086194916107e-006	1.215724e-004	4.076179e-008
1.000107390806969e-006	1.809595e-004	7.192335e-008
1.000128118905042e-006	2.497649e-004	1.157228e-007
1.000152838537273e-006	3.450313e-004	1.885649e-007
1.000181317082421e-006	4.708712e-004	3.040812e-007
1.000216453090381e-006	6.477614e-004	4.997277e-007
1.000258324561866e-006	8.864778e-004	8.200359e-007
1.000310476782796e-006	1.221157e-003	1.369028e-006
1.000374568537255e-006	1.680901e-003	2.300349e-006
1.000456208927495e-006	2.330791e-003	3.945197e-006
1.000560607114276e-006	3.246168e-003	6.881577e-006
1.000699042172401e-006	4.574803e-003	1.237169e-005
1.000886421387116e-006	6.536914e-003	2.300656e-005
1.001150565313007e-006	9.563232e-003	4.490672e-005
1.001531913763766e-006	1.439532e-002	9.224722e-005
1.002088048831471e-006	2.231964e-002	1.979141e-004
1.002873997819781e-006	3.512744e-002	4.298762e-004
1.003952695307510e-006	5.547851e-002	9.283955e-004
1.005419168420169e-006	8.767542e-002	1.991370e-003
1.007399399532486e-006	1.382406e-001	4.241668e-003
1.010107202007341e-006	2.183390e-001	9.065065e-003
1.013872490542339e-006	3.468091e-001	1.959864e-002
1.019234558439876e-006	5.574260e-001	4.313112e-002
1.026758560244628e-006	8.950681e-001	9.268761e-002
1.034571060244628e-006	1.292085e+000	1.657675e-001
1.042383560244628e-006	1.737187e+000	2.638092e-001
1.050000000000000e-006	2.206100e+000	3.785991e-001
1.050761643975537e-006	2.249571e+000	3.923545e-001
1.052284931926612e-006	2.331416e+000	4.204386e-001
1.055331507828761e-006	2.480462e+000	4.790408e-001
1.061424659633058e-006	2.752348e+000	6.024954e-001
1.067354961402171e-006	2.999478e+000	7.296790e-001
1.075167461402171e-006	3.313142e+000	9.069799e-001
1.082979961402171e-006	3.623819e+000	1.093472e+000
1.090792461402171e-006	3.934178e+000	1.288993e+000
1.098604961402171e-006	4.244947e+000	1.492890e+000
1.114229961402171e-006	4.867001e+000	1.923499e+000
