time	V(n003)	V(n006)
1.653309856314203e-006	1.529243e+001	1.134113e+001
1.661122356314203e-006	1.531663e+001	1.143685e+001
1.668934856314203e-006	1.533956e+001	1.153082e+001
1.676747356314203e-006	1.536128e+001	1.162306e+001
1.684559856314203e-006	1.538180e+001	1.171358e+001
1.692372356314203e-006	1.540117e+001	1.180240e+001
1.700184856314203e-006	1.541944e+001	1.188953e+001
1.707997356314203e-006	1.543662e+001	1.197499e+001
1.715809856314203e-006	1.545277e+001	1.205878e+001
1.731434856314203e-006	1.548207e+001	1.222144e+001
1.747059856314203e-006	1.550761e+001	1.237765e+001
1.762684856314203e-006	1.552963e+001	1.252753e+001
1.778309856314203e-006	1.554838e+001	1.267124e+001
1.801747356314203e-006	1.557087e+001	1.287553e+001
1.825184856314203e-006	1.558723e+001	1.306674e+001
1.848622356314202e-006	1.559812e+001	1.324539e+001
1.872059856314202e-006	1.560417e+001	1.341199e+001
1.894381284885631e-006	1.560504e+001	1.355884e+001
1.916702713457061e-006	1.560342e+001	1.369683e+001
1.939024142028489e-006	1.559933e+001	1.382597e+001
1.961345570599918e-006	1.559275e+001	1.394625e+001
1.983666999171347e-006	1.558370e+001	1.405768e+001
2.005988427742776e-006	1.557216e+001	1.416025e+001
2.028309856314205e-006	1.555815e+001	1.425397e+001
2.056211642028492e-006	1.553891e+001	1.436045e+001
2.084113427742778e-006	1.551885e+001	1.445808e+001
2.112015213457064e-006	1.549798e+001	1.454687e+001
2.139916999171351e-006	1.547631e+001	1.462682e+001
2.167818784885637e-006	1.545381e+001	1.469792e+001
2.195720570599924e-006	1.543051e+001	1.476018e+001
2.223622356314210e-006	1.540639e+001	1.481360e+001
2.248175927742782e-006	1.538572e+001	1.485583e+001
2.272729499171354e-006	1.536546e+001	1.489423e+001
2.297283070599926e-006	1.534562e+001	1.492879e+001
2.321836642028498e-006	1.532620e+001	1.495952e+001
2.346390213457070e-006	1.530720e+001	1.498641e+001
2.370943784885642e-006	1.528861e+001	1.500946e+001
2.395497356314214e-006	1.527044e+001	1.502868e+001
2.418934856314215e-006	1.525384e+001	1.504518e+001
2.442372356314215e-006	1.523783e+001	1.505936e+001
2.465809856314216e-006	1.522243e+001	1.507143e+001
2.489247356314216e-006	1.520765e+001	1.508157e+001
2.512684856314217e-006	1.519350e+001	1.508998e+001
2.528309856314217e-006	1.518443e+001	1.509470e+001
2.543934856314218e-006	1.517563e+001	1.509877e+001
2.559559856314218e-006	1.516711e+001	1.510223e+001
2.575184856314218e-006	1.515888e+001	1.510513e+001
2.590809856314219e-006	1.515093e+001	1.510750e+001
2.606434856314219e-006	1.514325e+001	1.510939e+001
2.614247356314219e-006	1.513951e+001	1.511016e+001
2.622059856314220e-006	1.513584e+001	1.511083e+001
2.629872356314220e-006	1.513224e+001	1.511139e+001
2.637684856314220e-006	1.512870e+001	1.511185e+001
2.645497356314220e-006	1.512523e+001	1.511221e+001
2.653309856314220e-006	1.512183e+001	1.511249e+001
2.661122356314220e-006	1.511849e+001	1.511267e+001
2.668934856314221e-006	1.511522e+001	1.511277e+001
2.676747356314221e-006	1.511201e+001	1.511279e+001
2.684559856314221e-006	1.510886e+001	1.511274e+001
2.692372356314221e-006	1.510578e+001	1.511261e+001
2.700184856314221e-006	1.510276e+001	1.511240e+001
2.707997356314222e-006	1.509980e+001	1.511213e+001
